acquisition_date,acquisition_month,acquisition_year,candidate_for_composite,cloud_cover_land_pct,cloud_cover_scene_pct,collection_id,day_of_year,earth_engine_asset_id,epoch,has_positive_core_coverage,landsat7_orbit_drift_period,landsat_product_id,landsat_scene_id,relative_year,sensor_key,sensor_role,slc_off,system_index,valid_area_context_m2,valid_area_core_m2,valid_fraction_context,valid_fraction_core,wrs_path,wrs_row,selected_window_name,selected_sensor_mode,selection_status
2019-12-25,12,2019,True,45.5,45.5,LANDSAT/LC08/C02/T1_L2,359,LANDSAT/LC08/C02/T1_L2/LC08_185058_20191225,2020,True,False,LC08_L2SP_185058_20191225_20200824_02_T1,LC81850582019359LGN00,-1,LC08,primary,False,LC08_185058_20191225,200661449.37468404,70570195.5395563,0.253454016907245,0.2435731276111757,185,58,Dec-Feb_3m,primary_only,PASS_SHORTEST_ACCEPTABLE
2020-01-10,1,2020,True,80.78,80.78,LANDSAT/LC08/C02/T1_L2,10,LANDSAT/LC08/C02/T1_L2/LC08_185057_20200110,2020,True,False,LC08_L2SP_185057_20200110_20200824_02_T1,LC81850572020010LGN00,0,LC08,primary,False,LC08_185057_20200110,205681128.5109815,86162527.13779393,0.25979433710649,0.2973900817105093,185,57,Dec-Feb_3m,primary_only,PASS_SHORTEST_ACCEPTABLE
2020-01-10,1,2020,True,70.12,70.12,LANDSAT/LC08/C02/T1_L2,10,LANDSAT/LC08/C02/T1_L2/LC08_185058_20200110,2020,True,False,LC08_L2SP_185058_20200110_20200823_02_T1,LC81850582020010LGN00,0,LC08,primary,False,LC08_185058_20200110,87625040.40674283,20882777.63057622,0.1106785510717563,0.0720769359047198,185,58,Dec-Feb_3m,primary_only,PASS_SHORTEST_ACCEPTABLE
2020-01-26,1,2020,True,0.0,0.0,LANDSAT/LC08/C02/T1_L2,26,LANDSAT/LC08/C02/T1_L2/LC08_185057_20200126,2020,True,False,LC08_L2SP_185057_20200126_20200823_02_T1,LC81850572020026LGN00,0,LC08,primary,False,LC08_185057_20200126,790810205.4364349,289393419.4320385,0.9988666173981864,0.9988417878429132,185,57,Dec-Feb_3m,primary_only,PASS_SHORTEST_ACCEPTABLE
2020-01-26,1,2020,True,0.31,0.31,LANDSAT/LC08/C02/T1_L2,26,LANDSAT/LC08/C02/T1_L2/LC08_185058_20200126,2020,True,False,LC08_L2SP_185058_20200126_20200823_02_T1,LC81850582020026LGN00,0,LC08,primary,False,LC08_185058_20200126,412607182.1754867,137171732.41650853,0.521161130117653,0.4734484243536552,185,58,Dec-Feb_3m,primary_only,PASS_SHORTEST_ACCEPTABLE
2020-02-11,2,2020,True,1.87,1.87,LANDSAT/LC08/C02/T1_L2,42,LANDSAT/LC08/C02/T1_L2/LC08_185057_20200211,2020,True,False,LC08_L2SP_185057_20200211_20200823_02_T1,LC81850572020042LGN00,0,LC08,primary,False,LC08_185057_20200211,723619664.1785699,281306658.13147527,0.913998733541835,0.9709303200176737,185,57,Dec-Feb_3m,primary_only,PASS_SHORTEST_ACCEPTABLE
2020-02-11,2,2020,True,47.34,47.34,LANDSAT/LC08/C02/T1_L2,42,LANDSAT/LC08/C02/T1_L2/LC08_185058_20200211,2020,True,False,LC08_L2SP_185058_20200211_20200823_02_T1,LC81850582020042LGN00,0,LC08,primary,False,LC08_185058_20200211,345348505.42231107,128087327.0013902,0.4362071848128555,0.4420935864857625,185,58,Dec-Feb_3m,primary_only,PASS_SHORTEST_ACCEPTABLE
2020-02-27,2,2020,True,14.87,14.87,LANDSAT/LC08/C02/T1_L2,58,LANDSAT/LC08/C02/T1_L2/LC08_185057_20200227,2020,True,False,LC08_L2SP_185057_20200227_20200822_02_T1,LC81850572020058LGN00,0,LC08,primary,False,LC08_185057_20200227,621520508.8032873,232973855.5446624,0.7850380331514835,0.8041095849711806,185,57,Dec-Feb_3m,primary_only,PASS_SHORTEST_ACCEPTABLE
2020-02-27,2,2020,True,39.12,39.12,LANDSAT/LC08/C02/T1_L2,58,LANDSAT/LC08/C02/T1_L2/LC08_185058_20200227,2020,True,False,LC08_L2SP_185058_20200227_20200822_02_T1,LC81850582020058LGN00,0,LC08,primary,False,LC08_185058_20200227,379614663.7724695,128965691.50274377,0.4794885201410508,0.4451252627783044,185,58,Dec-Feb_3m,primary_only,PASS_SHORTEST_ACCEPTABLE
2024-11-04,11,2024,True,84.76,84.76,LANDSAT/LC08/C02/T1_L2,309,LANDSAT/LC08/C02/T1_L2/LC08_185057_20241104,2025,True,False,LC08_L2SP_185057_20241104_20241113_02_T1,LC81850572024309LGN00,-1,LC08,primary,False,LC08_185057_20241104,17573787.579118088,58441.13220214844,0.0221973232431165,0.000201709648709,185,57,Nov-Jan_3m,primary_only,PASS_SHORTEST_ACCEPTABLE
